omitted_q,status,wall_limit_seconds,seed,variables,clauses,cnf_sha256,solver_output_sha256
34,UNKNOWN,30,13035,1820,48928,9e968e84310875ea24d5f9fae3e80be1dec734a2de2726cdd389b699686b145a,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
35,UNKNOWN,30,13036,1820,48928,8ad5a70bdef4965f6a0d984f0e7d0e946d37dab708b8198a2b73bf469c4cbb4f,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
36,UNKNOWN,30,13037,1820,48928,2afd4fc15ab6db148de52bec0b13bc205205927fef24385996b8d38de4be3b43,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
37,UNKNOWN,30,13038,1820,48928,a78924c8a4d8013b1efd999ff7cb482bad9d8c7b816e72001d370b3c21f1f861,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
38,UNKNOWN,30,13039,1820,48928,e76fb0761c9933b6a85222d2ad8dd9101df63722fd9011559ce710f95c5f728c,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
39,UNKNOWN,30,13040,1820,48928,1758e3e6c65f23748ca2c8f3283302b5059c860e6e64e84a8f1f56bd075d2854,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
42,UNKNOWN,30,13043,1820,48928,2004023df484d26fb95e13bae26e14b4257a02b08828d4c5863601a81fce478d,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
43,UNKNOWN,30,13044,1820,48928,84413a65353a0f25fefe5d9e2cd69700e855f2553af8a6990e8ae81fea79d142,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
44,UNKNOWN,30,13045,1820,48928,6b9ab02b6c3a907b10a895d535a81432f2a7a240e03b9aa0388f6b3260ad624c,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
45,UNKNOWN,30,13046,1820,48928,d5a442741223f00934e1a24f8eb793d35013e05a193f8f82fd22465deec4f615,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
46,UNKNOWN,30,13047,1820,48928,b7360723638f6d3baed6920be239acf200908bc105b0f35e7de63efd12a13741,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
47,UNKNOWN,30,13048,1820,48928,fd66b2d3cb9e5b877ac8a9f2695b40b328a98794fb9dfaa80dd51f11d2323865,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
48,UNKNOWN,30,13049,1820,48928,a7ed3b64d6cf920c7aa039f21a76ff1e5dc5fed12164b4a79ac8476bb4a0de16,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
49,UNKNOWN,30,13050,1820,48928,607648482ba8bac29257f06e0e1ac26e943d4a81046fb198648e627f40493c13,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
50,UNKNOWN,30,13051,1820,48928,2c84466efd7ce69fb97105ad02000f00dbed7a45772ac022e9211ceae95614d1,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
51,UNKNOWN,30,13052,1820,48928,75fba710ed26263972464f5b0dfabf55bead383f4d797536229def950306c4f6,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
54,UNKNOWN,30,13055,1820,48928,5302b4bf7db5401ef0252f498f70a7380f384abc9dde1a712aa0f718e365e429,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
55,UNKNOWN,30,13056,1820,48928,4bdc0e581c7dc9b0e26d94f304e8bbbf865b1388dd0afa7dadfd50f008c158ea,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
