branch,fixed_point,status,wall_limit_seconds,source,witness_sha256
24,18,SAT,30,bounded_layer_scan,d99979344ca9ba1a66b3ef10a034e857bf239e5dc35676a4cb004dbf9d3d5397
25,17,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
25,18,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
26,17,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
26,18,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
27,17,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
27,18,SAT,30,bounded_layer_scan,db24ac851f46a689f53f6d414d7062b2f5ea166e69923ae34e30a9c7c343882a
28,17,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
28,18,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
29,17,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
29,18,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
30,17,SAT,30,bounded_layer_scan,02e776698e7e5c6ae9a01e874f5f6638479c319b0751145c9760a0f89639ec8e
30,18,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
31,17,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
31,18,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
32,17,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
32,18,SAT,30,bounded_layer_scan,0e0a1e7bffded25aa387e15653939e59e9c92f332feb56ef1b4f0b9ab05ef394
33,17,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
33,18,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
34,17,SAT,30,bounded_layer_scan,551fb1dd657d66252a811a96f8cfcf6bf65ebeaf71331b2f63b032066851ba4b
34,18,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
35,17,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
35,18,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
36,17,SAT,30,bounded_layer_scan,6de77b185629e91508f1267e1324cea95ca0206d1cd3b0bf6d33580651182424
36,18,SAT,30,bounded_layer_scan,4d9dbdbb6942443a60ffd4925e08de44b75086792a2ce752c3d80c651b7ee876
37,17,SAT,30,bounded_layer_scan,1dd96a8012a680fb4bc8f083c1bed55ab648f82fbca974bc0a0d514c3bb99a13
37,18,SAT,30,bounded_layer_scan,10348a8ea4716abd74660c84f9768889b06e0b824a8b393b50951cd2b92baf5a
38,17,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
38,18,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
39,17,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
39,18,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
40,17,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
40,18,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
41,17,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
41,18,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
42,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
42,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
43,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
43,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
44,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
44,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
45,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
45,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
46,17,SAT,10,bounded_layer_scan,8630e5500a59b9c2f50f1991aad7e8813b2b81d16c669e1af33196c99aee2733
46,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
47,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
47,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
48,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
48,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
49,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
49,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
50,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
50,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
51,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
51,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
52,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
52,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
53,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
53,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
54,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
54,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
55,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
55,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
56,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
56,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
57,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
57,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
58,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
58,18,SAT,10,bounded_layer_scan,5451df6ba45d447c57352310f87d256091a42793cf8611081d65190c3c02f36a
59,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
59,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
60,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
60,18,SAT,10,bounded_layer_scan,a231e5327fa6b2bdd4061eb80efba01fd14c636ae5b61bc89e2675fc8e775c8d
61,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
61,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
62,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
62,18,SAT,10,bounded_layer_scan,f99ff956dfbb38492cc526913302d11dd88f33eb581e65149192408c31c1aa0e
63,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
63,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
64,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
64,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
65,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
65,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
66,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
66,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
67,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
67,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
68,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
68,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
69,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
69,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
70,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
70,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
71,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
71,18,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
72,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
72,18,SAT,10,bounded_layer_scan,6b0d67c6a6a9c5bd56d7e943a7dbca078b929227c3de47d21bc1a88e79f10fa3
73,17,UNKNOWN,10,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
