CANDIDATE UNSAT [14450,1402,52100,4842,101637,45650,36292,83589,4715,100741,29793]
CANDIDATE UNSAT [14450,1402,52100,37098,101637,45650,36292,115845,4715,100741,29793]
CANDIDATE UNSAT [14450,1402,52100,37098,101637,45650,36292,101509,4715,115077,29793]
CANDIDATE UNSAT [14450,1402,59780,37098,101637,45650,36292,101509,12395,115077,29793]
CANDIDATE UNSAT [14450,1402,59780,37098,101637,45650,36292,101509,12395,115077,29793]
CANDIDATE UNSAT [14450,1402,59780,37098,101637,45650,36292,101509,12395,115077,29793]
CANDIDATE UNSAT [14450,1402,59780,37098,101637,45642,36292,101509,12403,115077,29793]
CANDIDATE UNSAT [14450,1402,59780,37098,101637,45642,36292,101509,12403,115077,29793]
CANDIDATE UNSAT [14450,5242,59780,33258,101637,45642,36292,101509,12403,115077,29793]
CANDIDATE UNSAT [14450,5242,59780,33258,101637,45642,36292,101509,12403,117124,31840]
CANDIDATE UNSAT [14450,5242,59780,491,101637,12875,36292,101509,12403,117124,31840]
CANDIDATE UNSAT [14450,5242,59780,491,101637,12875,36292,101509,12403,117124,31840]
CANDIDATE UNSAT [14450,5242,59780,491,101637,12875,36292,101509,12403,117124,31840]
CANDIDATE UNSAT [14450,5242,59780,491,101637,12875,36292,101509,12403,117124,31840]
CANDIDATE UNSAT [14450,5242,43460,491,101637,12875,52612,101509,12403,117124,31840]
CANDIDATE UNSAT [14450,5242,43460,491,101637,12875,52612,101509,12403,117124,31840]
CANDIDATE UNSAT [14450,5242,43460,506,101652,12875,52612,101509,12403,117124,31840]
CANDIDATE UNSAT [14450,5242,59716,16762,101652,12875,52612,101509,12403,117124,31840]
CANDIDATE UNSAT [14450,5242,59716,16762,101652,12875,101764,52357,12403,117124,31840]
CANDIDATE UNSAT [14450,5242,59716,16762,101652,12875,117892,36229,12403,117124,31840]
CANDIDATE UNSAT [14450,70746,59716,16762,101652,12875,117892,36229,12403,117124,97344]
CANDIDATE UNSAT [14450,70746,59716,16762,101652,12875,117892,36229,12403,117124,97344]
CANDIDATE UNSAT [14450,70746,59716,20602,101652,9035,117892,36229,12403,117124,97344]
