LPCAND -0.0526316 [18724, 1171, 1177, 1099, 16996, 1099, 218, 13088, 13088, 28708, 1099]
LPCAND -0.0526316 [18724, 1171, 1177, 203, 16996, 1099, 1114, 13088, 13088, 28708, 1099]
LPCAND -0.0526316 [18724, 1219, 1051, 218, 16996, 1099, 1051, 13088, 13088, 28708, 1225]
LPCAND -0.0526316 [18724, 1219, 1051, 218, 8996, 1114, 1051, 29216, 4960, 28708, 1240]
LPCAND -0.0526316 [18724, 218, 1171, 1051, 8996, 1114, 1114, 30724, 6468, 28708, 1225]
LPCAND -0.0666667 [24868, 203, 1233, 1107, 11012, 1178, 1114, 29216, 6920, 22564, 1114]
LPCAND -0.0666667 [18728, 1240, 1219, 1171, 10788, 1178, 155, 13060, 29188, 22816, 1114]
LPCAND -0.0666667 [22816, 1113, 1171, 1178, 30752, 1178, 218, 13060, 25124, 2828, 1219]
LPCAND -0.0666667 [26664, 27008, 5712, 425, 4630, 5202, 18473, 5638, 4690, 1558, 9601]
LPCAND -0.0666667 [10632, 26753, 5202, 17697, 4690, 1558, 18473, 5650, 4678, 5652, 8616]
