c0,c1,c2,c3,L_lo,L_up,kernel_upper,d_lower,D_up,exact_realized,G28,margin_lo,margin_up,margin_final
0,11,13,7,4420523,4420523,2,2191664,2202480,1,4404973,-15550,-15550,-15550
0,11,15,5,4416747,4424939,2,2189776,2197696,0,4395407,-21340,-29532,-29532
0,11,17,3,4434507,4434507,2,2198656,2202480,1,4404973,-29534,-29534,-29534
0,11,19,1,4277451,4277451,2,2120128,2123744,1,4247501,-29950,-29950,-29950
0,13,1,17,4276923,4276923,2,2119864,2123688,1,4247391,-29532,-29532,-29532
0,13,3,15,4433963,4442155,2,2198384,2206304,0,4412622,-21341,-29533,-29533
0,13,5,13,4416763,4416763,2,2189784,2200600,1,4401217,-15546,-15546,-15546
0,13,7,11,4420523,4420523,2,2191664,2202480,1,4404973,-15550,-15550,-15550
0,13,9,9,4419003,4419003,2,2197848,2201720,1,4403455,-15548,-15548,-15548
0,13,11,7,4420523,4420523,2,2191664,2202480,1,4404973,-15550,-15550,-15550
0,13,13,5,4416763,4416763,2,2189784,2200600,1,4401217,-15546,-15546,-15546
0,13,15,3,4433963,4442155,2,2198384,2206304,0,4412622,-21341,-29533,-29533
0,13,17,1,4276923,4276923,2,2119864,2123688,1,4247391,-29532,-29532,-29532
0,15,1,15,4276363,4292747,2,2119584,2131600,0,4263217,-13146,-29530,-29530
0,15,3,13,4433963,4442155,2,2198384,2206304,0,4412622,-21341,-29533,-29533
0,15,5,11,4416747,4424939,2,2189776,2197696,0,4395407,-21340,-29532,-29532
0,15,7,9,4419787,4427979,2,2195120,2199216,0,4398446,-21341,-29533,-29533
0,15,9,7,4419787,4427979,2,2195120,2199216,0,4398446,-21341,-29533,-29533
0,15,11,5,4416747,4424939,2,2189776,2197696,0,4395407,-21340,-29532,-29532
0,15,13,3,4433963,4442155,2,2198384,2206304,0,4412622,-21341,-29533,-29533
0,15,15,1,4276363,4292747,2,2119584,2131600,0,4263217,-13146,-29530,-29530
0,17,1,13,4276923,4276923,2,2119864,2123688,1,4247391,-29532,-29532,-29532
0,17,3,11,4434507,4434507,2,2198656,2202480,1,4404973,-29534,-29534,-29534
