# MathCheck2 K10 one-factorizations, decoded and validated
# format: case<TAB>five_edges;...;five_edges
30	01,23,45,67,89;02,17,39,46,58;03,15,24,69,78;04,18,27,36,59;05,16,29,37,48;06,14,28,35,79;07,12,38,49,56;08,19,26,34,57;09,13,25,47,68
31	01,23,45,67,89;02,13,47,58,69;03,12,46,59,78;04,18,25,36,79;05,14,29,37,68;06,17,28,35,49;07,15,26,39,48;08,19,27,34,56;09,16,24,38,57
32	01,23,45,67,89;02,16,39,47,58;03,15,28,46,79;04,18,27,36,59;05,17,24,38,69;06,12,35,49,78;07,13,29,48,56;08,19,26,34,57;09,14,25,37,68
33	01,23,45,67,89;02,18,37,46,59;03,15,24,69,78;04,12,36,58,79;05,13,29,47,68;06,17,28,35,49;07,16,25,39,48;08,19,27,34,56;09,14,26,38,57
34	01,23,45,67,89;02,17,34,58,69;03,12,48,56,79;04,16,29,35,78;05,13,27,49,68;06,18,24,37,59;07,15,28,39,46;08,19,25,36,47;09,14,26,38,57
35	01,23,45,67,89;02,15,34,68,79;03,14,25,69,78;04,17,28,36,59;05,19,26,38,47;06,12,37,49,58;07,18,24,39,56;08,13,29,46,57;09,16,27,35,48
36	01,23,45,67,89;02,15,39,47,68;03,16,25,48,79;04,18,27,36,59;05,17,29,38,46;06,12,35,49,78;07,13,24,58,69;08,19,26,34,57;09,14,28,37,56
37	01,23,45,67,89;02,14,35,68,79;03,12,49,56,78;04,13,27,58,69;05,18,29,36,47;06,17,28,34,59;07,15,26,39,48;08,19,25,37,46;09,16,24,38,57
38	01,23,45,67,89;02,17,39,46,58;03,14,28,56,79;04,18,27,36,59;05,16,29,38,47;06,12,35,49,78;07,13,25,48,69;08,19,26,34,57;09,15,24,37,68
39	01,23,45,67,89;02,13,47,58,69;03,15,26,49,78;04,17,28,36,59;05,18,29,37,46;06,12,35,48,79;07,14,25,39,68;08,19,27,34,56;09,16,24,38,57
40	01,23,45,67,89;02,14,35,68,79;03,15,24,69,78;04,18,26,37,59;05,17,28,36,49;06,19,27,34,58;07,12,39,48,56;08,13,29,46,57;09,16,25,38,47
41	01,23,45,67,89;02,15,38,47,69;03,14,29,56,78;04,18,27,36,59;05,17,28,39,46;06,12,35,48,79;07,13,25,49,68;08,19,26,34,57;09,16,24,37,58
42	01,23,45,67,89;02,14,36,59,78;03,17,26,49,58;04,12,39,57,68;05,13,28,47,69;06,15,24,38,79;07,18,29,35,46;08,19,27,34,56;09,16,25,37,48
43	01,23,45,67,89;02,17,38,49,56;03,15,29,46,78;04,18,27,36,59;05,16,28,39,47;06,12,35,48,79;07,13,24,58,69;08,19,26,34,57;09,14,25,37,68
44	01,23,45,67,89;02,16,39,47,58;03,15,24,68,79;04,18,27,36,59;05,14,28,37,69;06,12,35,49,78;07,13,29,48,56;08,19,26,34,57;09,17,25,38,46
45	01,23,45,67,89;02,17,39,48,56;03,15,28,46,79;04,18,27,36,59;05,16,29,38,47;06,12,35,49,78;07,13,24,58,69;08,19,26,34,57;09,14,25,37,68
46	01,23,45,67,89;02,13,46,58,79;03,18,25,47,69;04,16,29,35,78;05,12,37,49,68;06,17,28,34,59;07,15,26,39,48;08,19,24,36,57;09,14,27,38,56
47	01,23,45,67,89;02,17,34,58,69;03,18,24,56,79;04,16,29,35,78;05,12,39,47,68;06,13,27,48,59;07,15,28,36,49;08,19,25,37,46;09,14,26,38,57
48	01,23,45,67,89;02,13,48,57,69;03,14,28,56,79;04,12,36,59,78;05,17,24,39,68;06,18,29,35,47;07,15,26,38,49;08,19,25,37,46;09,16,27,34,58
49	01,23,45,67,89;02,15,39,47,68;03,16,25,49,78;04,18,27,36,59;05,14,28,37,69;06,12,35,48,79;07,13,29,46,58;08,19,26,34,57;09,17,24,38,56
50	01,23,45,67,89;02,16,39,47,58;03,15,24,68,79;04,18,27,36,59;05,17,29,38,46;06,12,35,49,78;07,13,25,48,69;08,19,26,34,57;09,14,28,37,56
51	01,23,45,67,89;02,14,39,57,68;03,15,24,69,78;04,17,28,36,59;05,18,29,37,46;06,12,35,48,79;07,16,25,38,49;08,19,27,34,56;09,13,26,47,58
52	01,23,45,67,89;02,14,38,56,79;03,16,29,47,58;04,18,27,36,59;05,17,28,39,46;06,12,35,49,78;07,13,25,48,69;08,19,26,34,57;09,15,24,37,68
53	01,23,45,67,89;02,15,34,68,79;03,14,25,69,78;04,17,26,38,59;05,19,27,36,48;06,12,37,49,58;07,18,24,39,56;08,13,29,46,57;09,16,28,35,47
54	01,23,45,67,89;02,17,34,58,69;03,12,46,59,78;04,18,29,37,56;05,13,27,49,68;06,14,28,35,79;07,15,26,39,48;08,19,25,36,47;09,16,24,38,57
55	01,23,45,67,89;02,13,47,58,69;03,15,26,49,78;04,17,28,36,59;05,14,29,37,68;06,12,35,48,79;07,18,25,39,46;08,19,27,34,56;09,16,24,38,57
56	01,23,45,67,89;02,18,39,46,57;03,19,28,47,56;04,12,36,58,79;05,17,26,38,49;06,15,29,37,48;07,13,24,59,68;08,14,27,35,69;09,16,25,34,78
57	01,23,45,67,89;02,17,39,48,56;03,12,46,59,78;04,13,27,58,69;05,18,26,37,49;06,14,28,35,79;07,15,29,34,68;08,19,25,36,47;09,16,24,38,57
58	01,23,45,67,89;02,14,35,68,79;03,15,28,47,69;04,18,27,36,59;05,16,24,39,78;06,12,37,49,58;07,13,29,48,56;08,19,26,34,57;09,17,25,38,46
59	01,23,45,67,89;02,16,37,49,58;03,14,28,57,69;04,13,29,56,78;05,12,36,48,79;06,18,27,34,59;07,15,24,39,68;08,19,26,35,47;09,17,25,38,46
60	01,23,45,67,89;02,15,36,48,79;03,19,24,56,78;04,12,39,57,68;05,16,28,37,49;06,13,29,47,58;07,18,26,34,59;08,14,27,35,69;09,17,25,38,46
61	01,23,45,67,89;02,16,39,48,57;03,15,24,69,78;04,12,36,58,79;05,13,29,47,68;06,17,28,35,49;07,14,26,38,59;08,19,27,34,56;09,18,25,37,46
62	01,23,45,67,89;02,15,38,47,69;03,16,24,59,78;04,12,36,58,79;05,14,29,37,68;06,17,28,35,49;07,18,25,39,46;08,19,27,34,56;09,13,26,48,57
63	01,23,45,67,89;02,18,36,47,59;03,16,25,49,78;04,17,26,39,58;05,13,27,48,69;06,14,28,35,79;07,15,29,34,68;08,19,24,37,56;09,12,38,46,57
64	01,23,45,67,89;02,14,38,56,79;03,15,29,47,68;04,18,27,36,59;05,17,28,39,46;06,12,35,49,78;07,13,24,58,69;08,19,26,34,57;09,16,25,37,48
65	01,23,45,67,89;02,16,34,58,79;03,17,25,48,69;04,18,29,37,56;05,12,36,49,78;06,13,28,47,59;07,15,24,39,68;08,19,27,35,46;09,14,26,38,57
66	01,23,45,67,89;02,15,34,68,79;03,14,25,69,78;04,17,28,36,59;05,19,27,38,46;06,12,37,49,58;07,13,29,48,56;08,16,24,39,57;09,18,26,35,47
67	01,23,45,67,89;02,14,35,68,79;03,15,24,69,78;04,17,26,38,59;05,19,28,36,47;06,13,27,49,58;07,12,39,48,56;08,16,29,34,57;09,18,25,37,46
68	01,23,45,67,89;02,17,39,48,56;03,15,24,69,78;04,18,27,36,59;05,16,29,38,47;06,14,28,35,79;07,13,25,49,68;08,19,26,34,57;09,12,37,46,58
69	01,23,45,67,89;02,15,34,68,79;03,14,25,69,78;04,17,26,38,59;05,16,28,37,49;06,13,29,47,58;07,12,39,48,56;08,19,24,36,57;09,18,27,35,46
70	01,23,45,67,89;02,14,35,68,79;03,15,24,69,78;04,16,27,38,59;05,17,28,36,49;06,13,29,47,58;07,12,39,48,56;08,19,26,34,57;09,18,25,37,46
71	01,23,45,67,89;02,14,39,57,68;03,15,24,69,78;04,12,36,58,79;05,18,29,37,46;06,17,28,35,49;07,13,26,48,59;08,19,27,34,56;09,16,25,38,47
72	01,23,45,67,89;02,15,34,68,79;03,14,25,69,78;04,18,27,36,59;05,17,26,38,49;06,19,24,37,58;07,13,29,48,56;08,12,39,46,57;09,16,28,35,47
73	01,23,45,67,89;02,13,48,57,69;03,16,24,59,78;04,12,36,58,79;05,18,29,37,46;06,17,28,35,49;07,14,25,39,68;08,19,27,34,56;09,15,26,38,47
74	01,23,45,67,89;02,16,39,47,58;03,15,24,69,78;04,18,27,36,59;05,14,29,37,68;06,12,35,48,79;07,13,28,49,56;08,19,26,34,57;09,17,25,38,46
75	01,23,45,67,89;02,16,39,47,58;03,15,26,49,78;04,17,28,36,59;05,14,29,37,68;06,18,24,35,79;07,13,25,48,69;08,19,27,34,56;09,12,38,46,57
76	01,23,45,67,89;02,18,39,47,56;03,15,24,69,78;04,17,28,36,59;05,14,29,37,68;06,12,35,48,79;07,16,25,38,49;08,19,26,34,57;09,13,27,46,58
77	01,23,45,67,89;02,15,39,47,68;03,14,25,69,78;04,18,27,36,59;05,17,29,38,46;06,12,35,48,79;07,13,28,49,56;08,19,26,34,57;09,16,24,37,58
78	01,23,45,67,89;02,16,35,48,79;03,14,25,69,78;04,17,29,36,58;05,18,26,37,49;06,13,28,47,59;07,15,24,39,68;08,19,27,34,56;09,12,38,46,57
79	01,23,45,67,89;02,16,39,47,58;03,15,24,69,78;04,18,27,36,59;05,17,29,38,46;06,12,35,48,79;07,13,25,49,68;08,19,26,34,57;09,14,28,37,56
80	01,23,45,67,89;02,14,36,58,79;03,18,26,49,57;04,13,29,56,78;05,12,37,48,69;06,17,28,34,59;07,15,24,39,68;08,19,27,35,46;09,16,25,38,47
81	01,23,45,67,89;02,14,36,59,78;03,17,29,48,56;04,13,27,58,69;05,12,39,47,68;06,19,24,38,57;07,18,26,35,49;08,16,25,34,79;09,15,28,37,46
82	01,23,45,67,89;02,17,39,46,58;03,15,28,47,69;04,18,27,36,59;05,16,24,38,79;06,12,35,49,78;07,13,29,48,56;08,19,26,34,57;09,14,25,37,68
83	01,23,45,67,89;02,16,39,47,58;03,15,26,49,78;04,17,28,36,59;05,18,29,37,46;06,12,35,48,79;07,14,25,38,69;08,19,27,34,56;09,13,24,57,68
84	01,23,45,67,89;02,13,47,58,69;03,14,28,56,79;04,12,36,59,78;05,16,29,37,48;06,18,24,39,57;07,15,26,38,49;08,19,27,35,46;09,17,25,34,68
85	01,23,45,67,89;02,17,34,58,69;03,14,25,68,79;04,18,29,37,56;05,12,36,49,78;06,13,28,47,59;07,15,26,39,48;08,19,27,35,46;09,16,24,38,57
86	01,23,45,67,89;02,15,34,68,79;03,14,25,69,78;04,18,26,37,59;05,17,28,36,49;06,12,39,47,58;07,19,24,38,56;08,13,29,46,57;09,16,27,35,48
87	01,23,45,67,89;02,14,35,68,79;03,15,24,69,78;04,17,26,38,59;05,16,27,39,48;06,12,37,49,58;07,19,28,34,56;08,13,29,46,57;09,18,25,36,47
88	01,23,45,67,89;02,13,48,57,69;03,12,49,56,78;04,17,29,36,58;05,18,26,34,79;06,14,28,37,59;07,15,24,39,68;08,19,27,35,46;09,16,25,38,47
89	01,23,45,67,89;02,16,39,47,58;03,15,28,46,79;04,18,27,36,59;05,14,29,37,68;06,12,35,49,78;07,13,25,48,69;08,19,26,34,57;09,17,24,38,56
90	01,23,45,67,89;02,16,34,58,79;03,14,27,59,68;04,13,29,56,78;05,12,37,48,69;06,18,24,39,57;07,15,28,36,49;08,19,26,35,47;09,17,25,38,46
91	01,23,45,67,89;02,15,39,47,68;03,14,28,56,79;04,18,27,36,59;05,17,29,38,46;06,12,35,49,78;07,13,25,48,69;08,19,26,34,57;09,16,24,37,58
92	01,23,45,67,89;02,19,36,48,57;03,17,28,49,56;04,12,35,68,79;05,16,29,38,47;06,18,24,37,59;07,14,26,39,58;08,15,27,34,69;09,13,25,46,78
93	01,23,45,67,89;02,15,34,68,79;03,14,25,69,78;04,18,26,37,59;05,17,28,36,49;06,13,29,47,58;07,19,24,38,56;08,12,39,46,57;09,16,27,35,48
94	01,23,45,67,89;02,15,34,68,79;03,14,25,69,78;04,17,26,38,59;05,18,29,37,46;06,13,27,49,58;07,12,39,48,56;08,19,24,36,57;09,16,28,35,47
95	01,23,45,67,89;02,15,39,47,68;03,16,24,59,78;04,12,36,58,79;05,18,29,37,46;06,17,28,35,49;07,13,25,48,69;08,19,27,34,56;09,14,26,38,57
96	01,23,45,67,89;02,14,39,57,68;03,15,24,69,78;04,18,25,36,79;05,16,29,37,48;06,17,28,35,49;07,12,38,46,59;08,19,27,34,56;09,13,26,47,58
